        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   139  6500  4.00 -4.00  2.00  1.25  0.00 -17.572 -17.755 -17.511 -24.765  -0.282  -0.225   0.359   0.343
   140  6500  4.50 -4.00  2.00  1.25  0.00 -17.601 -17.723 -17.492 -24.765  -0.302  -0.285   0.372   0.356
   141  6500  5.00 -4.00  2.00  1.25  0.00 -17.626 -17.701 -17.482 -24.765  -0.311  -0.332   0.385   0.369
   142  6750  0.50 -4.00  2.00  1.25  0.00 -17.761 -18.347 -17.881 -24.929  -0.076   0.171   0.138   0.122
   143  6750  1.00 -4.00  2.00  1.25  0.00 -17.728 -18.305 -17.866 -24.929  -0.091   0.163   0.165   0.149
   144  6750  1.50 -4.00  2.00  1.25  0.00 -17.704 -18.247 -17.849 -24.929  -0.108   0.131   0.206   0.190
   145  6750  2.00 -4.00  2.00  1.25  0.00 -17.696 -18.191 -17.824 -24.929  -0.133   0.084   0.236   0.220
   146  6750  2.50 -4.00  2.00  1.25  0.00 -17.699 -18.135 -17.793 -24.929  -0.164   0.026   0.262   0.246
   147  6750  3.00 -4.00  2.00  1.25  0.00 -17.711 -18.079 -17.760 -24.929  -0.197  -0.041   0.284   0.268
   148  6750  3.50 -4.00  2.00  1.25  0.00 -17.730 -18.026 -17.726 -24.929  -0.231  -0.113   0.304   0.288
   149  6750  4.00 -4.00  2.00  1.25  0.00 -17.755 -17.977 -17.695 -24.929  -0.262  -0.186   0.322   0.306
   150  6750  4.50 -4.00  2.00  1.25  0.00 -17.785 -17.937 -17.670 -24.929  -0.287  -0.257   0.337   0.321
   151  6750  5.00 -4.00  2.00  1.25  0.00 -17.817 -17.906 -17.653 -24.929  -0.304  -0.318   0.350   0.334
   152  7000  0.50 -4.00  2.00  1.25  0.00 -17.990 -18.561 -18.052 -25.087  -0.063   0.155   0.095   0.079
   153  7000  1.00 -4.00  2.00  1.25  0.00 -17.954 -18.533 -18.038 -25.087  -0.077   0.165   0.108   0.092
   154  7000  1.50 -4.00  2.00  1.25  0.00 -17.919 -18.486 -18.023 -25.087  -0.092   0.153   0.140   0.124
   155  7000  2.00 -4.00  2.00  1.25  0.00 -17.893 -18.423 -18.004 -25.087  -0.111   0.118   0.184   0.168
   156  7000  2.50 -4.00  2.00  1.25  0.00 -17.885 -18.363 -17.976 -25.087  -0.139   0.067   0.217   0.201
   157  7000  3.00 -4.00  2.00  1.25  0.00 -17.889 -18.304 -17.943 -25.087  -0.172   0.005   0.243   0.227
   158  7000  3.50 -4.00  2.00  1.25  0.00 -17.902 -18.245 -17.908 -25.087  -0.207  -0.066   0.266   0.250
   159  7000  4.00 -4.00  2.00  1.25  0.00 -17.924 -18.191 -17.874 -25.087  -0.241  -0.143   0.287   0.271
   160  7000  4.50 -4.00  2.00  1.25  0.00 -17.954 -18.143 -17.843 -25.087  -0.272  -0.220   0.304   0.288
   161  7000  5.00 -4.00  2.00  1.25  0.00 -17.988 -18.104 -17.819 -25.087  -0.296  -0.292   0.318   0.302
   162  7250  0.50 -4.00  2.00  1.25  0.00 -18.198 -18.742 -18.209 -25.239  -0.058   0.127   0.070   0.054
   163  7250  1.00 -4.00  2.00  1.25  0.00 -18.164 -18.732 -18.198 -25.239  -0.069   0.152   0.069   0.053
