        Teff log g [M]a  Vturb  l/H   small     big    beta
   341 14000  2.50 -1.00  2.00  0.00 -20.207 -20.271   2.608
   342 14000  3.00 -1.00  2.00  0.00 -20.173 -20.267   2.647
   343 14000  3.50 -1.00  2.00  0.00 -20.132 -20.256   2.687
   344 14000  4.00 -1.00  2.00  0.00 -20.086 -20.243   2.729
   345 14000  4.50 -1.00  2.00  0.00 -20.036 -20.226   2.774
   346 14000  5.00 -1.00  2.00  0.00 -19.981 -20.207   2.819
   347 15000  2.50 -1.00  2.00  0.00 -20.354 -20.409   2.596
   348 15000  3.00 -1.00  2.00  0.00 -20.319 -20.402   2.633
   349 15000  3.50 -1.00  2.00  0.00 -20.278 -20.390   2.671
   350 15000  4.00 -1.00  2.00  0.00 -20.234 -20.376   2.711
   351 15000  4.50 -1.00  2.00  0.00 -20.186 -20.360   2.752
   352 15000  5.00 -1.00  2.00  0.00 -20.136 -20.343   2.794
   353 16000  2.50 -1.00  2.00  0.00 -20.492 -20.538   2.585
   354 16000  3.00 -1.00  2.00  0.00 -20.454 -20.528   2.621
   355 16000  3.50 -1.00  2.00  0.00 -20.412 -20.514   2.657
   356 16000  4.00 -1.00  2.00  0.00 -20.368 -20.499   2.695
   357 16000  4.50 -1.00  2.00  0.00 -20.323 -20.483   2.734
   358 16000  5.00 -1.00  2.00  0.00 -20.275 -20.466   2.774
   359 17000  2.50 -1.00  2.00  0.00 -20.621 -20.659   2.574
   360 17000  3.00 -1.00  2.00  0.00 -20.582 -20.647   2.610
   361 17000  3.50 -1.00  2.00  0.00 -20.538 -20.630   2.645
   362 17000  4.00 -1.00  2.00  0.00 -20.493 -20.613   2.682
   363 17000  4.50 -1.00  2.00  0.00 -20.448 -20.597   2.719
   364 17000  5.00 -1.00  2.00  0.00 -20.403 -20.581   2.757
   365 18000  2.50 -1.00  2.00  0.00 -20.744 -20.775   2.565
   366 18000  3.00 -1.00  2.00  0.00 -20.703 -20.760   2.601
   367 18000  3.50 -1.00  2.00  0.00 -20.656 -20.740   2.634
   368 18000  4.00 -1.00  2.00  0.00 -20.611 -20.722   2.670
   369 18000  4.50 -1.00  2.00  0.00 -20.566 -20.705   2.706
   370 18000  5.00 -1.00  2.00  0.00 -20.521 -20.688   2.742
   371 19000  2.50 -1.00  2.00  0.00 -20.862 -20.886   2.557
   372 19000  3.00 -1.00  2.00  0.00 -20.818 -20.869   2.592
   373 19000  3.50 -1.00  2.00  0.00 -20.769 -20.846   2.624
