        Teff log g  [M]a Vturb  l/H   small     big    beta
   300 11500  4.00  0.00  2.00  0.00 -19.700 -19.908   2.797
   301 11500  4.50  0.00  2.00  0.00 -19.632 -19.883   2.853
   302 11500  5.00  0.00  2.00  0.00 -19.562 -19.853   2.905
   303 11750  2.00  0.00  2.00  0.00 -19.919 -19.973   2.595
   304 11750  2.50  0.00  2.00  0.00 -19.904 -19.992   2.639
   305 11750  3.00  0.00  2.00  0.00 -19.867 -19.990   2.685
   306 11750  3.50  0.00  2.00  0.00 -19.817 -19.977   2.734
   307 11750  4.00  0.00  2.00  0.00 -19.758 -19.958   2.786
   308 11750  4.50  0.00  2.00  0.00 -19.691 -19.933   2.841
   309 11750  5.00  0.00  2.00  0.00 -19.621 -19.904   2.894
   310 12000  2.50  0.00  2.00  0.00 -19.954 -20.037   2.634
   311 12000  3.00  0.00  2.00  0.00 -19.919 -20.036   2.678
   312 12000  3.50  0.00  2.00  0.00 -19.870 -20.024   2.725
   313 12000  4.00  0.00  2.00  0.00 -19.813 -20.005   2.776
   314 12000  4.50  0.00  2.00  0.00 -19.747 -19.981   2.830
   315 12000  5.00  0.00  2.00  0.00 -19.678 -19.952   2.882
   316 12250  2.50  0.00  2.00  0.00 -20.002 -20.081   2.629
   317 12250  3.00  0.00  2.00  0.00 -19.968 -20.080   2.672
   318 12250  3.50  0.00  2.00  0.00 -19.921 -20.069   2.718
   319 12250  4.00  0.00  2.00  0.00 -19.865 -20.051   2.767
   320 12250  4.50  0.00  2.00  0.00 -19.802 -20.027   2.819
   321 12250  5.00  0.00  2.00  0.00 -19.734 -19.999   2.871
   322 12500  2.50  0.00  2.00  0.00 -20.048 -20.124   2.624
   323 12500  3.00  0.00  2.00  0.00 -20.015 -20.123   2.666
   324 12500  3.50  0.00  2.00  0.00 -19.970 -20.112   2.711
   325 12500  4.00  0.00  2.00  0.00 -19.915 -20.094   2.759
   326 12500  4.50  0.00  2.00  0.00 -19.854 -20.072   2.809
   327 12500  5.00  0.00  2.00  0.00 -19.787 -20.044   2.860
   328 12750  2.50  0.00  2.00  0.00 -20.092 -20.165   2.620
   329 12750  3.00  0.00  2.00  0.00 -20.060 -20.164   2.661
   330 12750  3.50  0.00  2.00  0.00 -20.016 -20.154   2.704
   331 12750  4.00  0.00  2.00  0.00 -19.964 -20.137   2.751
   332 12750  4.50  0.00  2.00  0.00 -19.903 -20.114   2.800
   333 12750  5.00  0.00  2.00  0.00 -19.838 -20.087   2.850
   334 13000  2.50  0.00  2.00  0.00 -20.135 -20.205   2.616
   335 13000  3.00  0.00  2.00  0.00 -20.104 -20.204   2.656
   336 13000  3.50  0.00  2.00  0.00 -20.061 -20.194   2.698
   337 13000  4.00  0.00  2.00  0.00 -20.010 -20.177   2.744
   338 13000  4.50  0.00  2.00  0.00 -19.951 -20.156   2.792
   339 13000  5.00  0.00  2.00  0.00 -19.887 -20.129   2.841
   340 14000  2.00  0.00  2.00  0.00 -20.305 -20.333   2.562
   341 14000  2.50  0.00  2.00  0.00 -20.296 -20.355   2.602
   342 14000  3.00  0.00  2.00  0.00 -20.265 -20.353   2.639
   343 14000  3.50  0.00  2.00  0.00 -20.225 -20.342   2.678
   344 14000  4.00  0.00  2.00  0.00 -20.178 -20.327   2.720
   345 14000  4.50  0.00  2.00  0.00 -20.124 -20.307   2.764
   346 14000  5.00  0.00  2.00  0.00 -20.065 -20.283   2.809
   347 15000  2.50  0.00  2.00  0.00 -20.444 -20.494   2.590
   348 15000  3.00  0.00  2.00  0.00 -20.411 -20.488   2.626
   349 15000  3.50  0.00  2.00  0.00 -20.372 -20.477   2.663
   350 15000  4.00  0.00  2.00  0.00 -20.326 -20.461   2.701
   351 15000  4.50  0.00  2.00  0.00 -20.277 -20.442   2.741
   352 15000  5.00  0.00  2.00  0.00 -20.223 -20.421   2.783
   353 16000  2.50  0.00  2.00  0.00 -20.584 -20.625   2.579
   354 16000  3.00  0.00  2.00  0.00 -20.547 -20.615   2.614
   355 16000  3.50  0.00  2.00  0.00 -20.506 -20.601   2.649
   356 16000  4.00  0.00  2.00  0.00 -20.461 -20.585   2.686
   357 16000  4.50  0.00  2.00  0.00 -20.413 -20.565   2.723
   358 16000  5.00  0.00  2.00  0.00 -20.363 -20.545   2.762
   359 17000  2.50  0.00  2.00  0.00 -20.716 -20.750   2.569
   360 17000  3.00  0.00  2.00  0.00 -20.675 -20.736   2.604
   361 17000  3.50  0.00  2.00  0.00 -20.631 -20.718   2.638
   362 17000  4.00  0.00  2.00  0.00 -20.587 -20.700   2.673
   363 17000  4.50  0.00  2.00  0.00 -20.539 -20.679   2.709
   364 17000  5.00  0.00  2.00  0.00 -20.490 -20.658   2.745
   365 18000  2.50  0.00  2.00  0.00 -20.843 -20.869   2.559
   366 18000  3.00  0.00  2.00  0.00 -20.798 -20.851   2.595
   367 18000  3.50  0.00  2.00  0.00 -20.750 -20.829   2.628
   368 18000  4.00  0.00  2.00  0.00 -20.705 -20.809   2.662
   369 18000  4.50  0.00  2.00  0.00 -20.656 -20.787   2.696
   370 18000  5.00  0.00  2.00  0.00 -20.607 -20.765   2.731
   371 19000  2.50  0.00  2.00  0.00 -20.963 -20.983   2.550
   372 19000  3.00  0.00  2.00  0.00 -20.916 -20.963   2.586
   373 19000  3.50  0.00  2.00  0.00 -20.864 -20.935   2.619
   374 19000  4.00  0.00  2.00  0.00 -20.816 -20.913   2.651
   375 19000  4.50  0.00  2.00  0.00 -20.767 -20.890   2.685
   376 19000  5.00  0.00  2.00  0.00 -20.718 -20.866   2.718
   377 20000  3.00  0.00  2.00  0.00 -21.030 -21.071   2.578
   378 20000  3.50  0.00  2.00  0.00 -20.973 -21.039   2.610
   379 20000  4.00  0.00  2.00  0.00 -20.923 -21.013   2.642
   380 20000  4.50  0.00  2.00  0.00 -20.874 -20.989   2.675
   381 20000  5.00  0.00  2.00  0.00 -20.823 -20.963   2.707
   382 21000  3.00  0.00  2.00  0.00 -21.139 -21.174   2.571
