        Teff log g  [M]  Vturb  l/H   small     big    beta
   329 12750  3.00  0.50  2.00  0.00 -20.125 -20.228   2.660
   330 12750  3.50  0.50  2.00  0.00 -20.081 -20.218   2.704
   331 12750  4.00  0.50  2.00  0.00 -20.027 -20.201   2.751
   332 12750  4.50  0.50  2.00  0.00 -19.965 -20.177   2.801
   333 12750  5.00  0.50  2.00  0.00 -19.896 -20.147   2.852
   334 13000  2.50  0.50  2.00  0.00 -20.200 -20.268   2.614
   335 13000  3.00  0.50  2.00  0.00 -20.170 -20.269   2.655
   336 13000  3.50  0.50  2.00  0.00 -20.127 -20.260   2.698
   337 13000  4.00  0.50  2.00  0.00 -20.075 -20.243   2.744
   338 13000  4.50  0.50  2.00  0.00 -20.014 -20.219   2.793
   339 13000  5.00  0.50  2.00  0.00 -19.947 -20.190   2.842
   340 14000  2.00  0.50  2.00  0.00 -20.370 -20.396   2.559
   341 14000  2.50  0.50  2.00  0.00 -20.365 -20.421   2.599
   342 14000  3.00  0.50  2.00  0.00 -20.336 -20.422   2.638
   343 14000  3.50  0.50  2.00  0.00 -20.296 -20.414   2.678
   344 14000  4.00  0.50  2.00  0.00 -20.249 -20.399   2.720
   345 14000  4.50  0.50  2.00  0.00 -20.195 -20.378   2.764
   346 14000  5.00  0.50  2.00  0.00 -20.133 -20.351   2.809
   347 15000  2.50  0.50  2.00  0.00 -20.516 -20.563   2.587
   348 15000  3.00  0.50  2.00  0.00 -20.486 -20.562   2.624
   349 15000  3.50  0.50  2.00  0.00 -20.448 -20.553   2.662
   350 15000  4.00  0.50  2.00  0.00 -20.404 -20.540   2.702
   351 15000  4.50  0.50  2.00  0.00 -20.354 -20.521   2.743
   352 15000  5.00  0.50  2.00  0.00 -20.297 -20.495   2.783
   353 16000  2.50  0.50  2.00  0.00 -20.657 -20.696   2.576
   354 16000  3.00  0.50  2.00  0.00 -20.625 -20.691   2.612
   355 16000  3.50  0.50  2.00  0.00 -20.587 -20.682   2.649
   356 16000  4.00  0.50  2.00  0.00 -20.545 -20.670   2.687
   357 16000  4.50  0.50  2.00  0.00 -20.498 -20.652   2.726
   358 16000  5.00  0.50  2.00  0.00 -20.443 -20.627   2.764
   359 17000  2.50  0.50  2.00  0.00 -20.791 -20.822   2.566
   360 17000  3.00  0.50  2.00  0.00 -20.754 -20.813   2.601
   361 17000  3.50  0.50  2.00  0.00 -20.717 -20.802   2.637
   362 17000  4.00  0.50  2.00  0.00 -20.677 -20.791   2.674
   363 17000  4.50  0.50  2.00  0.00 -20.632 -20.775   2.712
   364 17000  5.00  0.50  2.00  0.00 -20.579 -20.750   2.749
   365 18000  2.50  0.50  2.00  0.00 -20.918 -20.942   2.556
   366 18000  3.00  0.50  2.00  0.00 -20.878 -20.929   2.592
   367 18000  3.50  0.50  2.00  0.00 -20.838 -20.915   2.626
   368 18000  4.00  0.50  2.00  0.00 -20.799 -20.904   2.661
   369 18000  4.50  0.50  2.00  0.00 -20.757 -20.890   2.699
   370 18000  5.00  0.50  2.00  0.00 -20.706 -20.866   2.735
   371 19000  2.50  0.50  2.00  0.00 -21.037 -21.054   2.546
   372 19000  3.00  0.50  2.00  0.00 -20.996 -21.041   2.584
   373 19000  3.50  0.50  2.00  0.00 -20.952 -21.022   2.617
   374 19000  4.00  0.50  2.00  0.00 -20.914 -21.009   2.650
   375 19000  4.50  0.50  2.00  0.00 -20.874 -20.997   2.686
   376 19000  5.00  0.50  2.00  0.00 -20.826 -20.976   2.721
