
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
  185  7750  2.50 -0.50  2.00  1.25  0.00   1.878   1.878   0.074   0.136   1.456   1.456   2.821   0.167   0.248
  186  7750  3.00 -0.50  2.00  1.25  0.00   1.765   1.765   0.091   0.150   1.280   1.279   2.834   0.163   0.172
  187  7750  3.50 -0.50  2.00  1.25  0.00   1.631   1.631   0.118   0.160   1.072   1.072   2.836   0.166   0.096
  188  7750  4.00 -0.50  2.00  1.25  0.00   1.490   1.489   0.140   0.164   0.880   0.879   2.833   0.163   0.030
  189  7750  4.50 -0.50  2.00  1.25  0.00   1.346   1.346   0.157   0.165   0.700   0.699   2.824   0.154  -0.025
  190  7750  5.00 -0.50  2.00  1.25  0.00   1.206   1.206   0.173   0.164   0.531   0.531   2.813   0.145  -0.074
  191  8000  1.00 -0.50  2.00  1.25  0.00   1.859   1.860   0.076   0.081   1.543   1.543   2.660   0.165   0.440
  192  8000  1.50 -0.50  2.00  1.25  0.00   1.939   1.940   0.048   0.094   1.653   1.653   2.734   0.152   0.406
  193  8000  2.00 -0.50  2.00  1.25  0.00   1.919   1.919   0.046   0.110   1.604   1.604   2.786   0.146   0.337
  194  8000  2.50 -0.50  2.00  1.25  0.00   1.856   1.856   0.053   0.129   1.489   1.489   2.826   0.142   0.256
  195  8000  3.00 -0.50  2.00  1.25  0.00   1.767   1.767   0.065   0.148   1.339   1.339   2.852   0.138   0.177
  196  8000  3.50 -0.50  2.00  1.25  0.00   1.654   1.654   0.084   0.164   1.155   1.154   2.864   0.136   0.099
  197  8000  4.00 -0.50  2.00  1.25  0.00   1.521   1.521   0.111   0.173   0.951   0.950   2.865   0.139   0.025
  198  8000  4.50 -0.50  2.00  1.25  0.00   1.381   1.380   0.132   0.176   0.762   0.762   2.859   0.135  -0.037
  199  8000  5.00 -0.50  2.00  1.25  0.00   1.239   1.239   0.150   0.176   0.587   0.586   2.849   0.128  -0.089
  200  8250  1.00 -0.50  2.00  1.25  0.00   1.660   1.661   0.091   0.068   1.340   1.341   2.620   0.145   0.408
  201  8250  1.50 -0.50  2.00  1.25  0.00   1.832   1.832   0.044   0.086   1.570   1.570   2.706   0.129   0.405
  202  8250  2.00 -0.50  2.00  1.25  0.00   1.850   1.850   0.035   0.101   1.576   1.576   2.770   0.123   0.344
  203  8250  2.50 -0.50  2.00  1.25  0.00   1.813   1.813   0.037   0.121   1.495   1.495   2.821   0.118   0.265
  204  8250  3.00 -0.50  2.00  1.25  0.00   1.745   1.745   0.046   0.143   1.366   1.366   2.859   0.115   0.181
  205  8250  3.50 -0.50  2.00  1.25  0.00   1.655   1.655   0.059   0.165   1.207   1.207   2.882   0.112   0.101
  206  8250  4.00 -0.50  2.00  1.25  0.00   1.542   1.542   0.081   0.180   1.018   1.018   2.891   0.113   0.025
  207  8250  4.50 -0.50  2.00  1.25  0.00   1.410   1.409   0.107   0.187   0.821   0.821   2.891   0.116  -0.046
  208  8250  5.00 -0.50  2.00  1.25  0.00   1.271   1.271   0.127   0.189   0.638   0.638   2.883   0.111  -0.104
  209  8500  1.00 -0.50  2.00  1.25  0.00   1.435   1.436   0.102   0.056   1.117   1.118   2.587   0.115   0.362
  210  8500  1.50 -0.50  2.00  1.25  0.00   1.708   1.708   0.045   0.078   1.458   1.459   2.675   0.107   0.398
  211  8500  2.00 -0.50  2.00  1.25  0.00   1.764   1.765   0.028   0.094   1.520   1.520   2.747   0.101   0.348
  212  8500  2.50 -0.50  2.00  1.25  0.00   1.752   1.753   0.026   0.113   1.473   1.473   2.808   0.096   0.271
  213  8500  3.00 -0.50  2.00  1.25  0.00   1.706   1.706   0.032   0.135   1.371   1.371   2.856   0.094   0.187
  214  8500  3.50 -0.50  2.00  1.25  0.00   1.636   1.635   0.041   0.159   1.232   1.232   2.890   0.090   0.103
  215  8500  4.00 -0.50  2.00  1.25  0.00   1.544   1.544   0.055   0.183   1.066   1.066   2.909   0.088   0.025
  216  8500  4.50 -0.50  2.00  1.25  0.00   1.429   1.429   0.080   0.196   0.874   0.874   2.916   0.092  -0.051
