
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  164  7250  1.50 -0.50  2.00  0.00  0.00 -17.334 -17.312 -18.844 -18.635 -18.238   2.103   2.103   0.103   0.118   1.660   1.660
  165  7250  2.00 -0.50  2.00  0.00  0.00 -17.424 -17.402 -18.795 -18.610 -18.227   1.988   1.988   0.117   0.127   1.499   1.498
  166  7250  2.50 -0.50  2.00  0.00  0.00 -17.528 -17.506 -18.723 -18.572 -18.216   1.847   1.846   0.143   0.135   1.288   1.287
  167  7250  3.00 -0.50  2.00  0.00  0.00 -17.635 -17.613 -18.657 -18.532 -18.197   1.699   1.699   0.165   0.139   1.089   1.088
  168  7250  3.50 -0.50  2.00  0.00  0.00 -17.740 -17.719 -18.598 -18.491 -18.173   1.553   1.552   0.182   0.140   0.907   0.906
  169  7250  4.00 -0.50  2.00  0.00  0.00 -17.844 -17.822 -18.543 -18.450 -18.147   1.408   1.408   0.197   0.140   0.734   0.733
  170  7250  4.50 -0.50  2.00  0.00  0.00 -17.943 -17.921 -18.491 -18.410 -18.121   1.270   1.269   0.210   0.138   0.571   0.570
  171  7250  5.00 -0.50  2.00  0.00  0.00 -18.034 -18.012 -18.445 -18.375 -18.098   1.143   1.143   0.222   0.137   0.423   0.423
  172  7500  0.50 -0.50  2.00  0.00  0.00 -17.521 -17.499 -19.005 -18.783 -18.398   2.064   2.064   0.114   0.093   1.647   1.647
  173  7500  1.00 -0.50  2.00  0.00  0.00 -17.478 -17.456 -19.064 -18.811 -18.389   2.135   2.135   0.077   0.099   1.781   1.781
  174  7500  1.50 -0.50  2.00  0.00  0.00 -17.520 -17.499 -19.047 -18.805 -18.383   2.086   2.086   0.078   0.109   1.710   1.710
  175  7500  2.00 -0.50  2.00  0.00  0.00 -17.593 -17.571 -19.008 -18.788 -18.374   1.997   1.997   0.087   0.122   1.577   1.577
  176  7500  2.50 -0.50  2.00  0.00  0.00 -17.682 -17.660 -18.952 -18.760 -18.363   1.880   1.880   0.103   0.134   1.404   1.404
  177  7500  3.00 -0.50  2.00  0.00  0.00 -17.782 -17.760 -18.876 -18.720 -18.350   1.741   1.740   0.129   0.144   1.192   1.192
  178  7500  3.50 -0.50  2.00  0.00  0.00 -17.884 -17.862 -18.808 -18.678 -18.328   1.596   1.595   0.151   0.148   0.996   0.996
  179  7500  4.00 -0.50  2.00  0.00  0.00 -17.986 -17.964 -18.746 -18.634 -18.302   1.450   1.449   0.168   0.148   0.814   0.814
