
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
  188  7750  4.00  0.00  4.00  0.00  0.00 -18.354 -18.869 -18.500 -25.529  -0.055   0.109   0.234   0.218
  189  7750  4.50  0.00  4.00  0.00  0.00 -18.370 -18.821 -18.477 -25.529  -0.078   0.046   0.260   0.244
  190  7750  5.00  0.00  4.00  0.00  0.00 -18.395 -18.776 -18.453 -25.529  -0.102  -0.024   0.281   0.265
  191  8000  1.00  0.00  4.00  0.00  0.00 -18.752 -19.182 -18.650 -25.667  -0.043   0.014   0.071   0.055
  192  8000  1.50  0.00  4.00  0.00  0.00 -18.710 -19.220 -18.657 -25.667  -0.036   0.093   0.041   0.025
  193  8000  2.00  0.00  4.00  0.00  0.00 -18.652 -19.210 -18.659 -25.667  -0.034   0.143   0.053   0.037
  194  8000  2.50  0.00  4.00  0.00  0.00 -18.598 -19.183 -18.658 -25.667  -0.035   0.172   0.079   0.063
  195  8000  3.00  0.00  4.00  0.00  0.00 -18.555 -19.146 -18.653 -25.667  -0.040   0.180   0.110   0.094
  196  8000  3.50  0.00  4.00  0.00  0.00 -18.526 -19.101 -18.644 -25.667  -0.049   0.165   0.146   0.130
  197  8000  4.00  0.00  4.00  0.00  0.00 -18.519 -19.044 -18.631 -25.667  -0.062   0.118   0.191   0.175
  198  8000  4.50  0.00  4.00  0.00  0.00 -18.527 -18.991 -18.611 -25.667  -0.082   0.057   0.224   0.208
  199  8000  5.00  0.00  4.00  0.00  0.00 -18.548 -18.941 -18.587 -25.667  -0.106  -0.013   0.250   0.234
  200  8250  1.00  0.00  4.00  0.00  0.00 -18.929 -19.264 -18.736 -25.800  -0.091  -0.081   0.075   0.059
  201  8250  1.50  0.00  4.00  0.00  0.00 -18.899 -19.344 -18.761 -25.800  -0.066   0.028   0.020   0.004
  202  8250  2.00  0.00  4.00  0.00  0.00 -18.844 -19.349 -18.766 -25.800  -0.061   0.088   0.020   0.004
  203  8250  2.50  0.00  4.00  0.00  0.00 -18.786 -19.330 -18.768 -25.800  -0.059   0.129   0.041   0.025
  204  8250  3.00  0.00  4.00  0.00  0.00 -18.735 -19.298 -18.766 -25.800  -0.061   0.150   0.071   0.055
  205  8250  3.50  0.00  4.00  0.00  0.00 -18.697 -19.257 -18.759 -25.800  -0.067   0.150   0.105   0.089
  206  8250  4.00  0.00  4.00  0.00  0.00 -18.676 -19.208 -18.749 -25.800  -0.078   0.123   0.145   0.129
  207  8250  4.50  0.00  4.00  0.00  0.00 -18.675 -19.150 -18.735 -25.800  -0.092   0.067   0.188   0.172
  208  8250  5.00  0.00  4.00  0.00  0.00 -18.690 -19.096 -18.713 -25.800  -0.114   0.000   0.220   0.204
  209  8500  1.50  0.00  4.00  0.00  0.00 -19.066 -19.445 -18.851 -25.930  -0.105  -0.039   0.009  -0.007
