
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
  151  6750  5.00 -1.50  4.00  1.25  0.00 -17.790 -17.954 -17.712 -24.929  -0.243  -0.242   0.362   0.346
  152  7000  0.50 -1.50  4.00  1.25  0.00 -17.995 -18.559 -18.072 -25.087  -0.041   0.149   0.116   0.100
  153  7000  1.00 -1.50  4.00  1.25  0.00 -17.953 -18.537 -18.062 -25.087  -0.051   0.170   0.128   0.112
  154  7000  1.50 -1.50  4.00  1.25  0.00 -17.917 -18.498 -18.050 -25.087  -0.063   0.169   0.155   0.139
  155  7000  2.00 -1.50  4.00  1.25  0.00 -17.890 -18.443 -18.037 -25.087  -0.076   0.142   0.197   0.181
  156  7000  2.50 -1.50  4.00  1.25  0.00 -17.880 -18.390 -18.015 -25.087  -0.098   0.100   0.229   0.213
  157  7000  3.00 -1.50  4.00  1.25  0.00 -17.882 -18.338 -17.988 -25.087  -0.125   0.047   0.254   0.238
  158  7000  3.50 -1.50  4.00  1.25  0.00 -17.893 -18.286 -17.958 -25.087  -0.155  -0.015   0.276   0.260
  159  7000  4.00 -1.50  4.00  1.25  0.00 -17.912 -18.236 -17.928 -25.087  -0.185  -0.084   0.296   0.280
  160  7000  4.50 -1.50  4.00  1.25  0.00 -17.939 -18.190 -17.899 -25.087  -0.214  -0.157   0.313   0.297
  161  7000  5.00 -1.50  4.00  1.25  0.00 -17.971 -18.152 -17.876 -25.087  -0.237  -0.226   0.327   0.311
  162  7250  0.50 -1.50  4.00  1.25  0.00 -18.222 -18.746 -18.228 -25.239  -0.037   0.108   0.086   0.070
  163  7250  1.00 -1.50  4.00  1.25  0.00 -18.178 -18.740 -18.220 -25.239  -0.045   0.146   0.084   0.068
  164  7250  1.50 -1.50  4.00  1.25  0.00 -18.133 -18.711 -18.211 -25.239  -0.055   0.164   0.103   0.087
  165  7250  2.00 -1.50  4.00  1.25  0.00 -18.096 -18.667 -18.198 -25.239  -0.068   0.158   0.134   0.118
  166  7250  2.50 -1.50  4.00  1.25  0.00 -18.070 -18.607 -18.182 -25.239  -0.084   0.125   0.178   0.162
  167  7250  3.00 -1.50  4.00  1.25  0.00 -18.061 -18.550 -18.157 -25.239  -0.108   0.078   0.211   0.195
  168  7250  3.50 -1.50  4.00  1.25  0.00 -18.065 -18.493 -18.127 -25.239  -0.138   0.019   0.238   0.222
  169  7250  4.00 -1.50  4.00  1.25  0.00 -18.079 -18.438 -18.095 -25.239  -0.170  -0.049   0.260   0.244
  170  7250  4.50 -1.50  4.00  1.25  0.00 -18.103 -18.387 -18.063 -25.239  -0.202  -0.125   0.280   0.264
  171  7250  5.00 -1.50  4.00  1.25  0.00 -18.134 -18.341 -18.034 -25.239  -0.231  -0.201   0.296   0.280
  172  7500  0.50 -1.50  4.00  1.25  0.00 -18.419 -18.881 -18.369 -25.386  -0.044   0.046   0.092   0.076
