
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  138  6500  3.50  0.20  2.00  1.25  0.00 -17.117 -17.096 -17.865 -17.927 -17.719   1.613   1.611   0.291   0.200   0.628   0.626
  139  6500  4.00  0.20  2.00  1.25  0.00 -17.204 -17.183 -17.841 -17.909 -17.706   1.507   1.505   0.297   0.199   0.513   0.511
  140  6500  4.50  0.20  2.00  1.25  0.00 -17.279 -17.258 -17.819 -17.894 -17.695   1.417   1.416   0.301   0.203   0.408   0.406
  141  6500  5.00  0.20  2.00  1.25  0.00 -17.339 -17.318 -17.798 -17.884 -17.686   1.347   1.346   0.303   0.212   0.316   0.315
  142  6750  0.50  0.20  2.00  1.25  0.00 -16.749 -16.729 -18.344 -18.305 -17.975   2.358   2.357   0.169   0.221   1.576   1.575
  143  6750  1.00  0.20  2.00  1.25  0.00 -16.814 -16.794 -18.320 -18.287 -17.965   2.275   2.273   0.178   0.218   1.480   1.479
  144  6750  1.50  0.20  2.00  1.25  0.00 -16.908 -16.887 -18.280 -18.260 -17.956   2.154   2.153   0.196   0.214   1.333   1.332
  145  6750  2.00  0.20  2.00  1.25  0.00 -17.017 -16.996 -18.230 -18.229 -17.947   2.015   2.013   0.218   0.210   1.155   1.154
  146  6750  2.50  0.20  2.00  1.25  0.00 -17.127 -17.106 -18.193 -18.200 -17.933   1.875   1.874   0.233   0.203   1.000   0.999
  147  6750  3.00  0.20  2.00  1.25  0.00 -17.236 -17.215 -18.160 -18.172 -17.917   1.739   1.737   0.245   0.196   0.855   0.854
  148  6750  3.50  0.20  2.00  1.25  0.00 -17.339 -17.318 -18.129 -18.146 -17.901   1.609   1.608   0.255   0.191   0.715   0.714
  149  6750  4.00  0.20  2.00  1.25  0.00 -17.434 -17.413 -18.098 -18.122 -17.886   1.491   1.489   0.263   0.190   0.582   0.581
  150  6750  4.50  0.20  2.00  1.25  0.00 -17.518 -17.497 -18.070 -18.102 -17.872   1.386   1.385   0.270   0.192   0.461   0.460
  151  6750  5.00  0.20  2.00  1.25  0.00 -17.589 -17.569 -18.044 -18.087 -17.861   1.299   1.298   0.274   0.198   0.353   0.352
  152  7000  0.50  0.20  2.00  1.25  0.00 -16.995 -16.974 -18.611 -18.505 -18.138   2.312   2.311   0.133   0.190   1.664   1.663
  153  7000  1.00  0.20  2.00  1.25  0.00 -17.036 -17.015 -18.595 -18.494 -18.130   2.260   2.259   0.136   0.193   1.600   1.599
  154  7000  1.50  0.20  2.00  1.25  0.00 -17.112 -17.092 -18.564 -18.476 -18.123   2.166   2.164   0.147   0.195   1.481   1.480
  155  7000  2.00  0.20  2.00  1.25  0.00 -17.211 -17.190 -18.515 -18.448 -18.115   2.039   2.038   0.167   0.195   1.313   1.312
  156  7000  2.50  0.20  2.00  1.25  0.00 -17.320 -17.299 -18.458 -18.414 -18.105   1.897   1.896   0.191   0.194   1.125   1.124
  157  7000  3.00  0.20  2.00  1.25  0.00 -17.428 -17.407 -18.414 -18.383 -18.090   1.757   1.756   0.207   0.190   0.960   0.959
  158  7000  3.50  0.20  2.00  1.25  0.00 -17.534 -17.513 -18.375 -18.352 -18.073   1.621   1.620   0.220   0.186   0.805   0.804
  159  7000  4.00  0.20  2.00  1.25  0.00 -17.634 -17.613 -18.337 -18.324 -18.055   1.492   1.491   0.231   0.185   0.658   0.657
  160  7000  4.50  0.20  2.00  1.25  0.00 -17.727 -17.706 -18.302 -18.299 -18.039   1.374   1.373   0.240   0.186   0.520   0.519
  161  7000  5.00  0.20  2.00  1.25  0.00 -17.807 -17.786 -18.270 -18.278 -18.025   1.273   1.272   0.247   0.190   0.397   0.396
  162  7250  0.50  0.20  2.00  1.25  0.00 -17.247 -17.226 -18.829 -18.676 -18.290   2.231   2.230   0.114   0.162   1.677   1.676
  163  7250  1.00  0.20  2.00  1.25  0.00 -17.255 -17.233 -18.836 -18.679 -18.283   2.227   2.226   0.103   0.169   1.681   1.680
  164  7250  1.50  0.20  2.00  1.25  0.00 -17.313 -17.292 -18.810 -18.667 -18.277   2.156   2.155   0.110   0.175   1.583   1.582
  165  7250  2.00  0.20  2.00  1.25  0.00 -17.396 -17.374 -18.773 -18.647 -18.270   2.054   2.053   0.122   0.181   1.445   1.444
  166  7250  2.50  0.20  2.00  1.25  0.00 -17.496 -17.475 -18.716 -18.617 -18.262   1.923   1.922   0.145   0.185   1.262   1.261
  167  7250  3.00  0.20  2.00  1.25  0.00 -17.603 -17.582 -18.654 -18.581 -18.251   1.781   1.780   0.170   0.187   1.066   1.065
