
       Teff log g  [M]a Vturb  l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  229  9000  3.50  0.20  2.00  0.00  0.00 -19.045 -18.500 -17.797   0.006   0.023   0.016
  230  9000  4.00  0.20  2.00  0.00  0.00 -19.045 -18.505 -17.805   0.011   0.032   0.020
  231  9000  4.50  0.20  2.00  0.00  0.00 -19.040 -18.507 -17.814   0.018   0.045   0.026
  232  9000  5.00  0.20  2.00  0.00  0.00 -19.031 -18.508 -17.824   0.028   0.064   0.035
  233  9250  2.00  0.20  2.00  0.00  0.00 -19.098 -18.553 -17.854   0.006   0.026   0.020
  234  9250  2.50  0.20  2.00  0.00  0.00 -19.109 -18.555 -17.848  -0.003   0.010   0.012
  235  9250  3.00  0.20  2.00  0.00  0.00 -19.116 -18.560 -17.849  -0.005   0.004   0.009
  236  9250  3.50  0.20  2.00  0.00  0.00 -19.120 -18.566 -17.855  -0.003   0.005   0.008
  237  9250  4.00  0.20  2.00  0.00  0.00 -19.123 -18.572 -17.862   0.000   0.010   0.009
  238  9250  4.50  0.20  2.00  0.00  0.00 -19.123 -18.577 -17.871   0.005   0.019   0.013
  239  9250  5.00  0.20  2.00  0.00  0.00 -19.118 -18.579 -17.881   0.013   0.034   0.020
  240  9500  2.00  0.20  2.00  0.00  0.00 -19.165 -18.618 -17.914   0.004   0.020   0.015
  241  9500  2.50  0.20  2.00  0.00  0.00 -19.177 -18.619 -17.906  -0.007   0.000   0.006
  242  9500  3.00  0.20  2.00  0.00  0.00 -19.184 -18.622 -17.904  -0.011  -0.008   0.002
  243  9500  3.50  0.20  2.00  0.00  0.00 -19.189 -18.627 -17.908  -0.011  -0.010   0.000
  244  9500  4.00  0.20  2.00  0.00  0.00 -19.193 -18.634 -17.915  -0.009  -0.008   0.000
  245  9500  4.50  0.20  2.00  0.00  0.00 -19.196 -18.640 -17.924  -0.005  -0.001   0.003
  246  9500  5.00  0.20  2.00  0.00  0.00 -19.195 -18.645 -17.934   0.000   0.010   0.009
  247  9750  2.00  0.20  2.00  0.00  0.00 -19.228 -18.680 -17.971   0.002   0.013   0.010
  248  9750  2.50  0.20  2.00  0.00  0.00 -19.241 -18.680 -17.962  -0.010  -0.008   0.001
  249  9750  3.00  0.20  2.00  0.00  0.00 -19.247 -18.681 -17.957  -0.015  -0.019  -0.005
  250  9750  3.50  0.20  2.00  0.00  0.00 -19.252 -18.684 -17.958  -0.017  -0.023  -0.007
  251  9750  4.00  0.20  2.00  0.00  0.00 -19.256 -18.690 -17.964  -0.016  -0.022  -0.007
  252  9750  4.50  0.20  2.00  0.00  0.00 -19.261 -18.697 -17.973  -0.013  -0.017  -0.005
  253  9750  5.00  0.20  2.00  0.00  0.00 -19.264 -18.703 -17.984  -0.009  -0.009  -0.001
  254 10000  2.00  0.20  2.00  0.00  0.00 -19.289 -18.739 -18.025   0.001   0.007   0.006
  255 10000  2.50  0.20  2.00  0.00  0.00 -19.302 -18.739 -18.015  -0.012  -0.016  -0.004
  256 10000  3.00  0.20  2.00  0.00  0.00 -19.308 -18.738 -18.009  -0.019  -0.028  -0.010
  257 10000  3.50  0.20  2.00  0.00  0.00 -19.311 -18.739 -18.007  -0.021  -0.033  -0.013
  258 10000  4.00  0.20  2.00  0.00  0.00 -19.315 -18.743 -18.010  -0.021  -0.034  -0.014
