
       Teff log g  [M]a Vturb  l/H   small     big    beta
  312 16000  4.50 -2.00  2.00  0.00 -20.286 -20.453   2.737
  313 16000  5.00 -2.00  2.00  0.00 -20.239 -20.437   2.779
  314 17000  2.50 -2.00  2.00  0.00 -20.582 -20.625   2.567
  315 17000  3.00 -2.00  2.00  0.00 -20.544 -20.614   2.605
  316 17000  3.50 -2.00  2.00  0.00 -20.500 -20.598   2.643
  317 17000  4.00 -2.00  2.00  0.00 -20.457 -20.583   2.682
  318 17000  4.50 -2.00  2.00  0.00 -20.413 -20.568   2.722
  319 17000  5.00 -2.00  2.00  0.00 -20.368 -20.553   2.762
  320 18000  2.50 -2.00  2.00  0.00 -20.704 -20.739   2.558
  321 18000  3.00 -2.00  2.00  0.00 -20.664 -20.727   2.595
  322 18000  3.50 -2.00  2.00  0.00 -20.620 -20.709   2.631
  323 18000  4.00 -2.00  2.00  0.00 -20.575 -20.692   2.669
  324 18000  4.50 -2.00  2.00  0.00 -20.532 -20.677   2.707
  325 18000  5.00 -2.00  2.00  0.00 -20.488 -20.662   2.746
  326 19000  2.50 -2.00  2.00  0.00 -20.818 -20.847   2.549
  327 19000  3.00 -2.00  2.00  0.00 -20.778 -20.834   2.585
  328 19000  3.50 -2.00  2.00  0.00 -20.733 -20.814   2.620
  329 19000  4.00 -2.00  2.00  0.00 -20.688 -20.796   2.657
  330 19000  4.50 -2.00  2.00  0.00 -20.644 -20.780   2.694
  331 19000  5.00 -2.00  2.00  0.00 -20.601 -20.764   2.732
  332 20000  3.00 -2.00  2.00  0.00 -20.887 -20.936   2.577
  333 20000  3.50 -2.00  2.00  0.00 -20.841 -20.915   2.610
  334 20000  4.00 -2.00  2.00  0.00 -20.796 -20.895   2.645
  335 20000  4.50 -2.00  2.00  0.00 -20.752 -20.878   2.682
  336 20000  5.00 -2.00  2.00  0.00 -20.709 -20.862   2.719
  337 21000  3.00 -2.00  2.00  0.00 -20.990 -21.034   2.570
  338 21000  3.50 -2.00  2.00  0.00 -20.943 -21.011   2.602
  339 21000  4.00 -2.00  2.00  0.00 -20.898 -20.990   2.635
